scraped_city,facility,operator,street,zip_code,city_in_desc,avg_home_price_usd,avg_electricity_cost_usd_per_kwh,avg_water_cost_usd_monthly
New York,60 Hudson Street (JFK12),Digital Realty,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,32 Avenue of the Americas (JFK13),Digital Realty,32 Avenue of the Americas (6th Ave),10013,New York,1150000.0,0.287,105.6
New York,111 Eight Avenue (JFK10),Digital Realty,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,701 Union Boulevard (EWR15),Digital Realty,701 Union Blvd,07512,Totowa,1122000.0,0.263,82.6
New York,703 Union Boulevard (EWR16),Digital Realty,703 Union Blvd,07512,Totowa,1122000.0,0.263,82.6
New York,Hivelocity - New York 1,Hivelocity,7 Teleport Drive,10311,Staten Island,1051000.0,0.259,89.8
New York,NYI - QTD1,QTD Systems,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,SDC Manhattan,Sabey Data Center Properties LLC,375 Pearl St,10038,New York,1038000.0,0.254,96.1
New York,DataBank LGA1 - Downtown New York City,DataBank,60 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,Opti9 NY1,Opti9 Technology,501 Franklin Ave,11530,Garden City,1024000.0,0.266,105.6
New York,325 Hudson,325 Hudson,325 Hudson,10013,New York,1150000.0,0.287,105.6
New York,TELEHOUSE New York Chelsea,Telehouse America,85 10th Avenue,10011,New York,922000.0,0.27,100.4
New York,1 Ramland,1547 Critical Systems Realty,1 Ramland Rd,10962,Orangeburg,1043000.0,0.254,98.3
New York,TELEHOUSE New York Teleport,Telehouse America,7 Teleport Drive,10311,New York,1051000.0,0.259,89.8
New York,NYI - New York,QTD Systems,100 William Street,10038,New York,1038000.0,0.254,96.1
New York,Hudson InterXchange,Hudson InterXchange,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,365 Data Centers - New York 2,365 Data Centers,325 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,DataBank LGA2 - Downtown New York City,DataBank,111 8th Ave,10011,Manhattan,922000.0,0.27,100.4
New York,Crown Castle New York (NY1),CROWN CASTLE,111 8th Ave,10011,New York City,922000.0,0.27,100.4
New York,Delimiter Commack Data Center,Delimiter Corp,500 Commack Road,NY11725,Commack,1255000.0,0.265,104.3
New York,Cogent Data Center - New York,"Cogent Communications, Inc.",25 Broadway,10004,New York,1044000.0,0.251,90.9
New York,CoreSite Secaucus (NY2),CoreSite,2 Emerson Ln,07094,Secaucus,1276000.0,0.249,99.0
New York,H5 Data Centers New York,H5 Data Centers,325 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,Equinix NY9,Equinix,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,CoreSite New York (NY1),CoreSite,32 Avenue of the Americas,10013,New York,1150000.0,0.287,105.6
New York,DataBank Orangeburg Campus,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,Epsilon Global Hubs - New York,Epsilon,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,Dataverge NY,DataVerge,882 3rd Ave,11232,Brooklyn,1018000.0,0.251,133.4
New York,111 Eight Avenue,Google,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,Speedcast NY,Speedcast International Ltd.,45 Oser Avenue,11788,Hauppauge,1037000.0,0.256,108.4
New York,365 Data Centers - New York 3,365 Data Centers,121 Varick St.,10013,New York,1150000.0,0.287,105.6
New York,Lunavi Orangeburg,Lunavi,1 Ramland Rd,10962,Orangeburg,1043000.0,0.254,98.3
New York,ColoHouse New York,ColoHouse,1 Ramland Road,10962,Orangeburg,1043000.0,0.254,98.3
New York,NewBridge Brooklyn,NewBridge,927 McDonald Ave,11218,Brooklyn,1101000.0,0.254,89.1
New York,DataBank LGA3 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,DataBank LGA4 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,75 Broad Street,JEMB Realty Inc.,75 Broad Street,10004,New York,1044000.0,0.251,90.9
New York,Evocative JFK2,Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua,968000.0,0.235,88.8
New York,365 Data Centers - New York 1,365 Data Centers,65 Broadway,10006,New York,979000.0,0.249,89.1
New York,Cogent Data Center - Hackensack,"Cogent Communications, Inc.",280 State St,07601,Hackensack,1060000.0,0.251,87.1
New York,Lumen New York 2,Lumen,601 W 26th,10001,New York,1082000.0,0.262,97.1
New York,60 Hudson Street,Colliers International,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,121 Varick St,121 Varick Street Corp.,121 Varick St,10013,New York,1150000.0,0.287,105.6
New York,Sentinel NY-1,Sentinel Datacenters,155 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,Metanet Staten Island,"Metanet, Inc.",7 Teleport Dr,10311,Staten Island,1051000.0,0.259,89.8
New York,Colocation America NYDC3,Colocation America,11 Skyline Dr,10532,Hawthorne,1260000.0,0.266,96.6
New York,365 Data Centers - New York 4,365 Data Centers,32 6th ave,10013,New York,1150000.0,0.287,105.6
New York,CherryRoad NYC3,CherryRoad Technologies,375 Pearl Street,10038,Manhattan,1038000.0,0.254,96.1
New York,Blue Hill Plaza,Blue Hill Data Services,2 Blue Hill Plaza,10965,Pearl River,1280000.0,0.265,98.2
New York,Centersquare - New York EWR3-B,Csquare,365 S Randolphville,08854,Piscataway,1124000.0,0.28,116.6
